Tuna,Source,sum_sq,df,F,PR(>F)
Basic,Intercept,88.62978254934247,1.0,26.930036773359415,4.6454640836857946e-07
Basic,C(Category),7.702616067232987,2.0,1.1702146162108142,0.3121488479999131
Basic,C(PriceLvl_Basic),6.579477881268,2.0,0.9995826244603974,0.3696329897786483
Basic,C(Age),20.157913932793313,7.0,0.8749934645793388,0.5139448619058042
Basic,C(Gender),37.96084258213291,4.0,2.883587371196059,0.036570604411913676
Basic,C(Education),5.658618566652977,4.0,0.4298408551367634,0.731816522173242
Basic,C(Marital),22.977961326513118,5.0,1.3963643499978768,0.23602530825831897
Basic,C(HouseholdSize),11.021768298904577,5.0,0.669789808931782,0.6135606774532073
Basic,C(Income),26.534059073347432,7.0,1.15176244701447,0.33327503497047906
Basic,C(Employment),48.906100199397876,7.0,2.122864409244236,0.05164293173360901
Basic,C(Urban_Rural),16.777410288746502,3.0,1.6992642993572513,0.18511490968083855
Basic,Residual,753.664778648854,229.0,,
