Dependent Variable,Age,Mean,Std. Deviation,N
Lab_Rating,1,3.1666666666666665,1.9924098397912438,12
Lab_Rating,2,3.2739726027397262,2.022514070632299,73
Lab_Rating,3,3.4125,2.029489865440094,80
Lab_Rating,4,3.020408163265306,2.193644189455522,49
Lab_Rating,5,3.5142857142857142,2.1743346321201287,35
Lab_Rating,6,2.8,2.210365192839022,15
Lab_Rating,7,3.5,2.258317958127243,6
Premium_Rating,1,5.166666666666667,1.5859229221975182,12
Premium_Rating,2,5.232876712328767,1.7679283854997372,73
Premium_Rating,3,5.2375,1.8088652992652814,80
Premium_Rating,4,5.326530612244898,1.7840468405430672,49
Premium_Rating,5,5.8,1.1580917366893848,35
Premium_Rating,6,5.266666666666667,2.086236073022646,15
Premium_Rating,7,6.0,0.6324555320336759,6
Basic_Rating,1,4.833333333333333,1.9462473604038073,12
Basic_Rating,2,4.205479452054795,1.731721238389304,73
Basic_Rating,3,4.275,1.6533433714136543,80
Basic_Rating,4,4.428571428571429,2.03100960115899,49
Basic_Rating,5,4.2,2.1529733202357755,35
Basic_Rating,6,4.4,1.9928443419967778,15
Basic_Rating,7,4.0,2.1908902300206643,6
