Dependent Variable,Education,Mean,Std. Deviation,N
Lab_Rating,2,2.8636363636363638,2.0799083654760926,88
Lab_Rating,3,3.213740458015267,2.0115345599730428,131
Lab_Rating,4,4.0,2.095290887308734,42
Lab_Rating,5,4.777777777777778,1.5634719199411433,9
Premium_Rating,2,5.170454545454546,1.931121947190708,88
Premium_Rating,3,5.3816793893129775,1.6241353451898668,131
Premium_Rating,4,5.523809523809524,1.5654516256027227,42
Premium_Rating,5,5.555555555555555,1.2360330811826106,9
Basic_Rating,2,4.4772727272727275,2.0227287403279752,88
Basic_Rating,3,4.320610687022901,1.7640302438211424,131
Basic_Rating,4,3.9047619047619047,1.7503940157063704,42
Basic_Rating,5,4.111111111111111,1.5365907428821477,9
