Dependent Variable,Gender,Mean,Std. Deviation,N
Lab_Rating,1,3.511278195488722,1.9564057232177439,133
Lab_Rating,2,2.9140625,2.1591312913000134,128
Lab_Rating,3,5.333333333333333,1.0327955589886446,6
Lab_Rating,4,4.0,1.7320508075688772,3
Premium_Rating,1,5.135338345864661,1.8081547386485604,133
Premium_Rating,2,5.5234375,1.6068987284897724,128
Premium_Rating,3,5.666666666666667,1.505545305418162,6
Premium_Rating,4,6.0,1.0,3
Basic_Rating,1,4.157894736842105,1.7660180567351267,133
Basic_Rating,2,4.5546875,1.8857467609561716,128
Basic_Rating,3,3.0,1.8973665961010275,6
Basic_Rating,4,2.3333333333333335,0.5773502691896258,3
