Dependent Variable,Gender,Age,Mean,Std. Deviation,N
Lab_Rating,1,1,2.5,0.7071067811865476,2
Lab_Rating,1,2,3.4324324324324325,1.9370731148442109,37
Lab_Rating,1,3,3.6382978723404253,1.9937460035657768,47
Lab_Rating,1,4,3.0416666666666665,2.1157621027332727,24
Lab_Rating,1,5,4.214285714285714,1.8883680959850138,14
Lab_Rating,1,6,3.6666666666666665,1.632993161855452,6
Lab_Rating,1,7,3.3333333333333335,2.0816659994661326,3
Lab_Rating,2,1,2.75,2.052872551885702,8
Lab_Rating,2,2,2.878787878787879,2.0426327337160943,33
Lab_Rating,2,3,3.096774193548387,2.1190381262839897,31
Lab_Rating,2,4,3.0,2.309401076758503,25
Lab_Rating,2,5,2.8421052631578947,2.2916068572737545,19
Lab_Rating,2,6,2.2222222222222223,2.4381231397212986,9
Lab_Rating,2,7,3.6666666666666665,2.8867513459481287,3
Lab_Rating,3,1,5.5,0.7071067811865476,2
Lab_Rating,3,2,5.666666666666667,1.1547005383792517,3
Lab_Rating,3,3,4.0,,1
Lab_Rating,4,3,2.0,,1
Lab_Rating,4,5,5.0,0.0,2
Premium_Rating,1,1,6.5,0.7071067811865476,2
Premium_Rating,1,2,4.918918918918919,1.9773492129388555,37
Premium_Rating,1,3,5.212765957446808,1.852567785684249,47
Premium_Rating,1,4,4.791666666666667,1.9776834640705196,24
Premium_Rating,1,5,5.714285714285714,0.9138735334633754,14
Premium_Rating,1,6,4.833333333333333,1.6020819787597222,6
Premium_Rating,1,7,6.333333333333333,0.5773502691896257,3
Premium_Rating,2,1,4.625,1.597989808656935,8
Premium_Rating,2,2,5.484848484848484,1.5231794896123558,33
Premium_Rating,2,3,5.290322580645161,1.7548703349458952,31
Premium_Rating,2,4,5.84,1.43410831761993,25
Premium_Rating,2,5,5.894736842105263,1.3701069237311885,19
Premium_Rating,2,6,5.555555555555555,2.4037008503093262,9
Premium_Rating,2,7,5.666666666666667,0.5773502691896257,3
Premium_Rating,3,1,6.0,1.4142135623730951,2
Premium_Rating,3,2,6.333333333333333,0.5773502691896258,3
Premium_Rating,3,3,3.0,,1
Premium_Rating,4,3,7.0,,1
Premium_Rating,4,5,5.5,0.7071067811865476,2
Basic_Rating,1,1,3.5,0.7071067811865476,2
Basic_Rating,1,2,3.8378378378378377,1.69170383396795,37
Basic_Rating,1,3,4.170212765957447,1.5923615076790307,47
Basic_Rating,1,4,4.583333333333333,2.0412414523193156,24
Basic_Rating,1,5,4.214285714285714,1.9286731759891875,14
Basic_Rating,1,6,4.333333333333333,1.96638416050035,6
Basic_Rating,1,7,4.333333333333333,3.0550504633038935,3
Basic_Rating,2,1,5.75,1.4880476182856899,8
Basic_Rating,2,2,4.757575757575758,1.601372517371876,33
Basic_Rating,2,3,4.451612903225806,1.7858463852828879,31
Basic_Rating,2,4,4.28,2.0518284528683193,25
Basic_Rating,2,5,4.421052631578948,2.3408400551389,19
Basic_Rating,2,6,4.444444444444445,2.1278575558006176,9
Basic_Rating,2,7,3.6666666666666665,1.5275252316519468,3
Basic_Rating,3,1,2.5,2.1213203435596424,2
Basic_Rating,3,2,2.6666666666666665,2.0816659994661326,3
Basic_Rating,3,3,5.0,,1
Basic_Rating,4,3,3.0,,1
Basic_Rating,4,5,2.0,0.0,2
