Dependent Variable,Gender,HouseholdSize,Mean,Std. Deviation,N
Lab_Rating,1,1,3.4583333333333335,1.8876985450811392,24
Lab_Rating,1,2,3.5,1.9192898346492004,50
Lab_Rating,1,3,3.4814814814814814,2.343080982388037,27
Lab_Rating,1,4,3.9047619047619047,1.6402671094904604,21
Lab_Rating,1,5,3.0,2.0,11
Lab_Rating,2,1,2.8333333333333335,2.229633236166005,30
Lab_Rating,2,2,3.1794871794871793,2.0884619733921403,39
Lab_Rating,2,3,2.5238095238095237,2.11232212550661,21
Lab_Rating,2,4,3.0,2.174229226018436,23
Lab_Rating,2,5,2.8,2.4260491103261463,15
Lab_Rating,3,1,6.0,1.4142135623730951,2
Lab_Rating,3,2,5.0,0.0,2
Lab_Rating,3,3,5.0,1.4142135623730951,2
Lab_Rating,4,1,3.5,2.1213203435596424,2
Lab_Rating,4,3,5.0,,1
Premium_Rating,1,1,4.958333333333333,1.8528278426482998,24
Premium_Rating,1,2,5.02,1.9742216239338892,50
Premium_Rating,1,3,5.666666666666667,1.3301243435223524,27
Premium_Rating,1,4,4.904761904761905,1.609495632325913,21
Premium_Rating,1,5,5.181818181818182,2.315952582337636,11
Premium_Rating,2,1,5.366666666666666,1.7904600320690718,30
Premium_Rating,2,2,5.256410256410256,1.6970244658774882,39
Premium_Rating,2,3,5.0476190476190474,1.8021151593666394,21
Premium_Rating,2,4,6.260869565217392,0.7518094115561123,23
Premium_Rating,2,5,6.066666666666666,1.2798809468443688,15
Premium_Rating,3,1,6.5,0.7071067811865476,2
Premium_Rating,3,2,6.5,0.7071067811865476,2
Premium_Rating,3,3,4.0,1.4142135623730951,2
Premium_Rating,4,1,6.0,1.4142135623730951,2
Premium_Rating,4,3,6.0,,1
Basic_Rating,1,1,4.291666666666667,1.7315277663950706,24
Basic_Rating,1,2,4.12,1.912792594664691,50
Basic_Rating,1,3,4.0,1.386750490563073,27
Basic_Rating,1,4,4.428571428571429,1.8593393604027366,21
Basic_Rating,1,5,3.909090909090909,2.0225995873897262,11
Basic_Rating,2,1,4.366666666666666,2.059181848467364,30
Basic_Rating,2,2,4.410256410256411,1.757958575614411,39
Basic_Rating,2,3,4.523809523809524,2.204972734957229,21
Basic_Rating,2,4,4.956521739130435,1.718304155253218,23
Basic_Rating,2,5,4.733333333333333,1.7511900715418263,15
Basic_Rating,3,1,2.5,2.1213203435596424,2
Basic_Rating,3,2,3.5,2.1213203435596424,2
Basic_Rating,3,3,3.0,2.8284271247461903,2
Basic_Rating,4,1,2.5,0.7071067811865476,2
Basic_Rating,4,3,2.0,,1
