Dependent Variable,Gender,Income,Mean,Std. Deviation,N
Lab_Rating,1,1,3.3333333333333335,2.0816659994661326,3
Lab_Rating,1,2,3.0,2.0,8
Lab_Rating,1,3,3.064516129032258,1.8062019796794184,31
Lab_Rating,1,4,3.2916666666666665,2.156469874317881,24
Lab_Rating,1,5,3.259259259259259,1.9531550923607717,27
Lab_Rating,1,6,4.521739130434782,1.4730785703105929,23
Lab_Rating,1,7,3.9411764705882355,2.221221179759405,17
Lab_Rating,2,1,2.3333333333333335,2.3094010767585034,3
Lab_Rating,2,2,2.4210526315789473,2.1938243997813553,19
Lab_Rating,2,3,2.84375,2.2448417574806987,32
Lab_Rating,2,4,2.5757575757575757,1.953047346941169,33
Lab_Rating,2,5,3.85,2.323223713087621,20
Lab_Rating,2,6,3.076923076923077,2.253202848596432,13
Lab_Rating,2,7,3.375,1.8468119248354136,8
Lab_Rating,3,3,5.2,1.0954451150103324,5
Lab_Rating,3,4,6.0,,1
Lab_Rating,4,2,5.0,,1
Lab_Rating,4,3,2.0,,1
Lab_Rating,4,5,5.0,,1
Premium_Rating,1,1,5.333333333333333,1.5275252316519465,3
Premium_Rating,1,2,3.75,1.9820624179302295,8
Premium_Rating,1,3,5.161290322580645,2.161739641948098,31
Premium_Rating,1,4,5.125,1.8953604681821943,24
Premium_Rating,1,5,5.2592592592592595,1.3754046283686456,27
Premium_Rating,1,6,5.260869565217392,1.572993420328024,23
Premium_Rating,1,7,5.352941176470588,1.8688625039910054,17
Premium_Rating,2,1,4.0,0.0,3
Premium_Rating,2,2,5.526315789473684,1.9541528728050925,19
Premium_Rating,2,3,5.375,1.75517667523538,32
Premium_Rating,2,4,5.575757575757576,1.4796600756234317,33
Premium_Rating,2,5,5.7,1.3803127029389888,20
Premium_Rating,2,6,5.461538461538462,1.8081014266989472,13
Premium_Rating,2,7,6.125,0.9910312089651151,8
Premium_Rating,3,3,5.8,1.6431676725154984,5
Premium_Rating,3,4,5.0,,1
Premium_Rating,4,2,5.0,,1
Premium_Rating,4,3,7.0,,1
Premium_Rating,4,5,6.0,,1
Basic_Rating,1,1,4.666666666666667,2.081665999466133,3
Basic_Rating,1,2,3.5,1.7728105208558365,8
Basic_Rating,1,3,3.903225806451613,1.660418395258204,31
Basic_Rating,1,4,4.625,1.8606333657491823,24
Basic_Rating,1,5,4.444444444444445,1.6012815380508714,27
Basic_Rating,1,6,4.173913043478261,1.8986160967936494,23
Basic_Rating,1,7,3.7058823529411766,1.8629514849544841,17
Basic_Rating,2,1,4.666666666666667,2.081665999466133,3
Basic_Rating,2,2,4.157894736842105,2.4097754135727354,19
Basic_Rating,2,3,4.8125,2.0546956449918286,32
Basic_Rating,2,4,4.575757575757576,1.6013725173718762,33
Basic_Rating,2,5,4.65,1.4244112357114616,20
Basic_Rating,2,6,4.615384615384615,1.9381460874790257,13
Basic_Rating,2,7,4.0,2.2038926600773587,8
Basic_Rating,3,3,3.4,1.816590212458495,5
Basic_Rating,3,4,1.0,,1
Basic_Rating,4,2,2.0,,1
Basic_Rating,4,3,3.0,,1
Basic_Rating,4,5,2.0,,1
