Dependent Variable,Gender,Urban_Rural,Mean,Std. Deviation,N
Lab_Rating,1,1,3.85,1.9020906177016694,40
Lab_Rating,1,2,3.3205128205128207,1.9705203330466763,78
Lab_Rating,1,3,3.6,2.02837021134844,15
Lab_Rating,2,1,2.5555555555555554,1.8889822572628805,36
Lab_Rating,2,2,3.1076923076923078,2.243901992923522,65
Lab_Rating,2,3,2.925925925925926,2.3026059806215877,27
Lab_Rating,3,2,5.75,0.9574271077563381,4
Lab_Rating,3,3,4.5,0.7071067811865476,2
Lab_Rating,4,2,5.0,0.0,2
Premium_Rating,1,1,4.975,1.9280320776137758,40
Premium_Rating,1,2,5.1923076923076925,1.7136404046833855,78
Premium_Rating,1,3,5.266666666666667,2.051712409068047,15
Premium_Rating,2,1,5.472222222222222,1.6645224301988006,36
Premium_Rating,2,2,5.507692307692308,1.5921985284022069,65
Premium_Rating,2,3,5.62962962962963,1.6207345947997245,27
Premium_Rating,3,2,6.0,0.8164965809277259,4
Premium_Rating,3,3,5.0,2.8284271247461903,2
Premium_Rating,4,2,5.5,0.7071067811865476,2
Basic_Rating,1,1,4.025,1.846514387871209,40
Basic_Rating,1,2,4.269230769230769,1.710723071269405,78
Basic_Rating,1,3,3.933333333333333,1.9073791542572853,15
Basic_Rating,2,1,4.805555555555555,1.8018949461123963,36
Basic_Rating,2,2,4.092307692307692,1.9342559690604948,65
Basic_Rating,2,3,5.333333333333333,1.593255013631383,27
Basic_Rating,3,2,2.25,1.8929694486000912,4
Basic_Rating,3,3,4.5,0.7071067811865476,2
Basic_Rating,4,2,2.0,0.0,2
