Dependent Variable,Gender,Marital,Mean,Std. Deviation,N
Lab_Rating,1,1,3.0923076923076924,1.9899990336294517,65
Lab_Rating,1,2,4.019230769230769,1.8522946512672118,52
Lab_Rating,1,3,3.4,1.7126976771553506,10
Lab_Rating,1,4,5.0,,1
Lab_Rating,1,5,3.6,2.4083189157584592,5
Lab_Rating,2,1,2.811320754716981,2.000544193017191,53
Lab_Rating,2,2,3.204081632653061,2.217164027881251,49
Lab_Rating,2,3,2.9444444444444446,2.4367824065213592,18
Lab_Rating,2,4,1.0,0.0,3
Lab_Rating,2,5,2.5,3.0,4
Lab_Rating,3,1,5.6,0.8944271909999159,5
Lab_Rating,3,2,4.0,,1
Lab_Rating,4,1,2.0,,1
Lab_Rating,4,3,5.0,0.0,2
Premium_Rating,1,1,5.092307692307692,2.013416537591304,65
Premium_Rating,1,2,5.0576923076923075,1.6379501960210971,52
Premium_Rating,1,3,5.6,1.577621275493231,10
Premium_Rating,1,4,5.0,,1
Premium_Rating,1,5,5.6,1.5165750888103102,5
Premium_Rating,2,1,5.245283018867925,1.6279489263553324,53
Premium_Rating,2,2,5.775510204081633,1.3270472567955927,49
Premium_Rating,2,3,5.666666666666667,1.6087993330796873,18
Premium_Rating,2,4,5.0,3.4641016151377544,3
Premium_Rating,2,5,5.5,3.0,4
Premium_Rating,3,1,6.2,0.8366600265340755,5
Premium_Rating,3,2,3.0,,1
Premium_Rating,4,1,7.0,,1
Premium_Rating,4,3,5.5,0.7071067811865476,2
Basic_Rating,1,1,4.1692307692307695,1.6823461182344321,65
Basic_Rating,1,2,4.230769230769231,1.843008884846442,52
Basic_Rating,1,3,4.3,2.1628170930011112,10
Basic_Rating,1,4,4.0,,1
Basic_Rating,1,5,3.0,1.4142135623730951,5
Basic_Rating,2,1,4.849056603773585,1.843869535004853,53
Basic_Rating,2,2,4.387755102040816,1.8236447768435728,49
Basic_Rating,2,3,3.9444444444444446,2.0714366206096226,18
Basic_Rating,2,4,4.0,2.6457513110645907,3
Basic_Rating,2,5,5.5,1.7320508075688772,4
Basic_Rating,3,1,2.6,1.816590212458495,5
Basic_Rating,3,2,5.0,,1
Basic_Rating,4,1,3.0,,1
Basic_Rating,4,3,2.0,0.0,2
