Dependent Variable,HouseholdSize,Mean,Std. Deviation,N
Lab_Rating,1,3.2241379310344827,2.1113154081214596,58
Lab_Rating,2,3.3956043956043955,1.982585970556417,91
Lab_Rating,3,3.176470588235294,2.260140547425679,51
Lab_Rating,4,3.4318181818181817,1.9695085831741423,44
Lab_Rating,5,2.8846153846153846,2.214983938125477,26
Premium_Rating,1,5.258620689655173,1.7825700431855895,58
Premium_Rating,2,5.153846153846154,1.8434453065633918,91
Premium_Rating,3,5.352941176470588,1.5597888243190448,51
Premium_Rating,4,5.613636363636363,1.4012603810110102,44
Premium_Rating,5,5.6923076923076925,1.8059729957943618,26
Basic_Rating,1,4.206896551724138,1.9172222293803103,58
Basic_Rating,2,4.230769230769231,1.8383381570013664,91
Basic_Rating,3,4.137254901960785,1.8223019271584742,51
Basic_Rating,4,4.704545454545454,1.785986086231194,44
Basic_Rating,5,4.384615384615385,1.8778055932800515,26
