Dependent Variable,Income,Mean,Std. Deviation,N
Lab_Rating,1,2.8333333333333335,2.041241452319315,6
Lab_Rating,2,2.6785714285714284,2.1266139218219116,28
Lab_Rating,3,3.101449275362319,2.044684122995615,69
Lab_Rating,4,2.9310344827586206,2.0762826850560985,58
Lab_Rating,5,3.5416666666666665,2.103273369119722,48
Lab_Rating,6,4.0,1.8973665961010275,36
Lab_Rating,7,3.76,2.08726296059377,25
Premium_Rating,1,4.666666666666667,1.2110601416389966,6
Premium_Rating,2,5.0,2.054804667656325,28
Premium_Rating,3,5.333333333333333,1.9225187726970445,69
Premium_Rating,4,5.379310344827586,1.6525109677359475,58
Premium_Rating,5,5.458333333333333,1.3676868705542673,48
Premium_Rating,6,5.333333333333333,1.638814902822856,36
Premium_Rating,7,5.6,1.6583123951776997,25
Basic_Rating,1,4.666666666666667,1.8618986725025255,6
Basic_Rating,2,3.892857142857143,2.2167591578746584,28
Basic_Rating,3,4.27536231884058,1.901114672803165,69
Basic_Rating,4,4.5344827586206895,1.7493409008586114,58
Basic_Rating,5,4.479166666666667,1.5435463909429186,48
Basic_Rating,6,4.333333333333333,1.8973665961010275,36
Basic_Rating,7,3.8,1.9364916731037083,25
