term,sum_sq,df,F,p
Intercept,607.9076886919094,1.0,175.71081651305232,3.097727895876197e-38
C(Product),286.41949949309713,2.0,41.393623618649315,2.802050896849849e-18
C(PriceLvl),21.417798478106015,2.0,3.0953209907559627,0.04551596478470043
C(NutriLvl),866.2603210029791,2.0,125.19278103211629,1.9191235861325633e-51
C(TasteLvl),76.23058380979803,2.0,11.016917842665004,1.762749638870089e-05
C(HealthLabel),9.094988319053211,1.0,2.628833050551252,0.10512447443290483
C(Gender),1.0940546611289401,3.0,0.10540922653927455,0.9569359626222128
C(Marital),8.851680447204192,4.0,0.6396267179304919,0.6342656176760213
C(Employment),5.804672516951539,6.0,0.27963229903626097,0.946735551034811
C(Urban_Rural),0.2702532093738776,2.0,0.03905725570484046,0.9616965089613596
C(Product):C(PriceLvl),340.91183089563884,4.0,24.634454079092464,7.549613271375553e-20
C(Product):C(NutriLvl),545.6930579818797,4.0,39.43204476892834,1.2451921774055255e-24
C(Product):C(TasteLvl),1454.922355652849,4.0,105.13339435834065,1.978666893453031e-62
C(Product):C(HealthLabel),34.426644624492845,2.0,4.975372041922019,0.007006967773201913
C(PriceLvl):C(NutriLvl),264.3546165702425,4.0,19.102392678443838,2.2135009488933753e-15
C(PriceLvl):C(TasteLvl),91.38442202576488,4.0,6.603482613154772,2.8491506303625482e-05
C(PriceLvl):C(HealthLabel),11.134924627068044,2.0,1.60923009728949,0.20034649815112993
C(NutriLvl):C(TasteLvl),83.3108070931233,4.0,6.020079286294816,8.267904858335037e-05
C(NutriLvl):C(HealthLabel),11.19606173146742,2.0,1.6180656908615778,0.19858744382487256
C(TasteLvl):C(HealthLabel),3.646153731402917,2.0,0.5269456705305902,0.5905020277127432
SustainScore_c,108.29405741989912,1.0,31.301524239160514,2.5704758912801694e-08
PriceUSD_c,6.813923403535154,1.0,1.9695096264843355,0.16068276199120188
LabPriceGap_c,1.3311225077560833,1.0,0.384750229463311,0.5351551300721884
Age_num_c,2.693582410154653,1.0,0.7785582802084544,0.3777073242997352
Education_num_c,11.272134555047845,1.0,3.2581196180860355,0.07124766392691301
HouseholdSize_num_c,0.7192171730509451,1.0,0.20788392559883856,0.6484893451399979
Income_num_c,4.51943742615628,1.0,1.3063069526860818,0.2532255130533472
Residual,5874.580039426231,1698.0,,
