,mean,sd,n
Product__Basic,4.259762308998302,1.82539547794167,589.0
Product__Lab,3.6434634974533107,2.1345582691021834,589.0
Product__Premium,5.205432937181664,1.7064018189420709,589.0
PriceLvl__Low,4.323651452282157,1.9003894192177992,241.0
PriceLvl__Mid,4.4701601164483264,1.9776957033439344,687.0
PriceLvl__High,4.300357568533969,2.0490145174003116,839.0
NutriLvl__Low,,,0.0
NutriLvl__Mid,4.087739032620922,1.9397328329826415,889.0
NutriLvl__High,4.6548974943052395,2.0250523145330757,878.0
TasteLvl__Low,3.6282722513089007,2.1650420317336394,191.0
TasteLvl__Mid,4.021601016518424,1.9143999593808336,787.0
TasteLvl__High,4.896070975918884,1.9149020929052427,789.0
HealthLabel__0,4.3049382716049385,2.06078226500873,810.0
HealthLabel__1,4.424242424242424,1.9506885319549079,957.0
cont__SustainScore,4.814401656634255,1.1179330405863268,1767.0
cont__PriceUSD,5.6543293718166385,1.0675127419879742,1767.0
cont__LabPriceGap,1.5735144312393885,1.5083610831190095,1767.0
cont__Age_num,40.093378607809846,13.174789588742996,1767.0
cont__Education_num,15.275510204081632,2.5373111435876328,1764.0
cont__HouseholdSize_num,2.6241496598639458,1.2939519034164142,1764.0
cont__Income_num,73.31918505942275,47.35201050637391,1767.0
