term,beta,se_robust,z_or_t,p_value,ci_low_95,ci_high_95
Intercept,5.912359382270434,0.5353578655361411,11.043751783397122,2.3501102274730657e-28,4.863077246979361,6.961641517561508
"C(alt, Treatment(reference=""Lab""))[T.Premium]",1.7522393984155662,0.23457377817879474,7.469886071750056,8.026428253540288e-14,1.2924832414676408,2.2119955553634916
"C(alt, Treatment(reference=""Lab""))[T.Basic]",-0.39709817455455265,0.27760284878707636,-1.4304542489012069,0.15258668784375656,-0.941189760182941,0.14699341107383568
"C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Supportive but Inactive]",-0.2674160104865103,0.3185528752278594,-0.8394713445773448,0.4012048628820466,-0.8917681731047963,0.35693615213177565
"C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Unsupportive]",-1.6862456139917108,0.24975221788954535,-6.751674232328398,1.46148738106099e-11,-2.17575096611422,-1.1967402618692018
"C(alt, Treatment(reference=""Lab""))[T.Premium]:C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Supportive but Inactive]",-0.030272022362619166,0.4052669256088419,-0.07469650358745857,0.9404561896362261,-0.8245806006812226,0.7640365559559843
"C(alt, Treatment(reference=""Lab""))[T.Basic]:C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Supportive but Inactive]",0.7027219012693472,0.42675842400207453,1.646650333646211,0.0996299383028125,-0.13370923987379268,1.539153042412487
"C(alt, Treatment(reference=""Lab""))[T.Premium]:C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Unsupportive]",0.8656236359994814,0.3431907563334735,2.5222813261274655,0.0116596418367084,0.1929821137588119,1.538265158240151
"C(alt, Treatment(reference=""Lab""))[T.Basic]:C(sustain_group, Treatment(reference=""Supportive & Active""))[T.Unsupportive]",2.213635844389999,0.35536717182039096,6.229151198886798,4.689690229473309e-10,1.5171289863341753,2.9101427024458224
price_usd,-0.3226297942238384,0.07979018854170358,-4.043477025439174,5.2664318890878374e-05,-0.4790156900852379,-0.16624389836243889
